client_id,ip_address,geo_location,device_type,login_time,is_geo_fraud
1ee41678-dc07-4756-9ac9-a0c91a907115,213.172.94.142,"West Joyshire, American Samoa",desktop,2025-01-12 17:32:32,0
3a9d999b-5582-4178-aa3b-785ce8b5de63,46.13.171.4,"Trevinofort, Syrian Arab Republic",mobile,2025-01-13 14:26:30,0
6e49d4d0-43e6-47b6-a132-892e646f9d71,185.60.31.215,"New Wanda, Uganda",tablet,2025-01-08 10:40:40,0
a56f5610-5cca-42a5-88dc-95dfa39d2f7b,21.131.219.165,"Port Mary, Montserrat",tablet,2025-01-01 23:44:50,0
55346a17-6ed7-4c69-beb5-73fb79e01773,159.147.36.70,"East Danielmouth, Greece",mobile,2025-01-09 12:54:43,0
a49337aa-2ee4-448a-8f1b-90e894ca69a9,86.6.71.215,"Hardyfurt, Uruguay",tablet,2025-01-05 09:35:23,0
64bc284f-003d-4b0e-b093-f02b1d074689,178.214.34.6,"Hahnmouth, Indonesia",desktop,2025-01-09 11:50:45,0
8cf0593c-a58f-454f-9214-9384ff814911,6.186.59.239,"Joshuastad, Cape Verde",tablet,2025-01-07 12:59:01,0
a185e6ba-c6af-4f05-8c4b-bfacf4b75778,216.5.228.113,"Sarahport, Finland",desktop,2025-01-06 07:33:47,0
2934a1cf-a260-4a68-be3d-a0427d185867,221.126.181.182,"Normanville, Mauritius",mobile,2025-01-08 19:03:21,0
887b971d-1a97-4551-a2df-87d560a95ed9,103.137.253.112,"West Gloria, Uganda",mobile,2025-01-07 01:04:39,0
7a2896ca-842f-4b82-91ba-faaa0baadb49,200.83.180.230,"Port Paige, Malaysia",desktop,2025-01-06 04:28:53,0
6d13d25d-da6d-43ac-ac9d-ad1853e2f04d,139.59.122.41,"Justinhaven, El Salvador",tablet,2025-01-04 13:22:46,1
6b13b299-ab20-41f7-a0a7-0a5e7508a27d,150.146.87.176,"Patrickchester, Trinidad and Tobago",tablet,2025-01-12 11:33:59,0
f94bf829-923c-428a-9304-94d59d4000ab,99.25.22.191,"East Elizabeth, Guyana",desktop,2025-01-10 12:33:20,1
898e162c-e272-4b52-9820-9dc733944b19,190.135.178.89,"East Kimberly, Liberia",tablet,2025-01-12 23:34:18,0
c4ad03f2-9570-4606-b640-ca3c6f2f5aa7,23.114.19.71,"New Ericaberg, Syrian Arab Republic",mobile,2025-01-08 03:23:50,0
34418712-8f4e-4c52-9db9-22827a358eab,168.161.251.93,"West Jacobville, Moldova",tablet,2025-01-10 08:24:08,0
22263e95-1c28-4437-bbb5-9e78fd5af3f6,200.119.26.96,"Griffinshire, Moldova",tablet,2025-01-11 15:11:30,0
d3f147f2-f06b-4a37-a265-1611392617e6,147.106.28.116,"Lake Laurahaven, Greenland",desktop,2025-01-12 18:25:53,1
b638802d-8da1-40b7-82e6-f491a48c4e50,131.101.90.192,"Richardsonborough, Puerto Rico",tablet,2025-01-09 07:23:44,0
